OccupationTitle,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
"Sales Representatives, Services, All Other",Sales and Related Occupations,596480,50630,18.8,High school diploma or equivalent,None,Short-term on-the-job training
Nuclear Medicine Technologists,Healthcare Practitioners and Technical Occupations,21200,69450,18.9,Associate's degree,None,None
Surgical Technologists,Healthcare Practitioners and Technical Occupations,94490,40950,18.9,Postsecondary non-degree award,None,None
"Education Administrators, Postsecondary",Management Occupations,113620,84280,19,Master's degree,1 to 5 years,None
"Educational, Guidance, School, and Vocational Counselors",Community and Social Service Occupations,244560,54130,19,Master's degree,None,None
"Health Diagnosing and Treating Practitioners, All Other",Healthcare Practitioners and Technical Occupations,32300,70690,19,Master's degree,None,None
"Healthcare Practitioners and Technical Workers, All Other*",Healthcare Practitioners and Technical Occupations,55450,44950,19,Bachelor's degree,None,None
Interior Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",40950,47620,19.3,Bachelor's degree,None,None
Civil Engineers,Architecture and Engineering Occupations,254130,77990,19.4,Bachelor's degree,None,None
Instructional Coordinators,"Education, Training, and Library Occupations",130230,59280,19.5,Master's degree,More than 5 years,None
Carpenters,Construction and Extraction Occupations,578910,40010,19.6,High school diploma or equivalent,None,Apprenticeship
Credit Analysts,Business and Financial Operations Occupations,59140,60730,19.7,Bachelor's degree,None,None
"Child, Family, and School Social Workers",Community and Social Service Occupations,276510,40680,19.7,Bachelor's degree,None,None
